description,category,dk_pn,mfr_pn,mfr,qty_shipped,gbp_unit_price,gbp_ext_price,invoice_id,date_shipped,series,product_status,package_type,core_processor,core_type,clock_speed,program_memory_size,other_parameters
STSAFE CHIP_EA_MM,Embedded,497-STSAFA120DFSPL05-ND,STSAFA120DFSPL05,STMicroelectronics,10,£1.52100,£15.21,118610462,2025-12-02T10:58:52.794Z,-,Active,Bulk,-,-,,,"{""Applications"": ""Authentication, Security"", ""Program Memory Type"": ""NVM (16kB)"", ""Controller Series"": ""STSAFE-A"", ""RAM Size"": ""-"", ""Interface"": ""I2C"", ""Voltage - Supply"": ""2.7V ~ 5.5V"", ""Operating Temperature"": ""-40°C ~ 105°C (TA)"", ""Grade"": ""-"", ""Qualification"": ""-"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""8-UFDFN Exposed Pad"", ""Supplier Device Package"": ""8-UFDFPN (2x3)""}"
IC AUTHENTICATION CHIP 8-SO,Specialized ICs,497-STSAFA120S8SPL05CT-ND,STSAFA120S8SPL05,STMicroelectronics,10,£1.52100,£15.21,118610462,2025-12-02T10:58:52.794Z,-,Active,Cut Tape (CT),,,,,"{""DigiKey Programmable"": ""-"", ""Type"": ""Authentication Chip"", ""Applications"": ""-"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""8-SOIC (0.154\"", 3.90mm Width)"", ""Supplier Device Package"": ""8-SO"", ""Grade"": ""-"", ""Qualification"": ""-""}"
CONN SMART CARD R/A SMD,Memory Connectors,609-7712P0225A25LF-ND,7712P0225A25LF,Amphenol ICC (FCI),3,£1.96000,£5.88,118610462,2025-12-02T10:58:52.794Z,P,Active,Tray,,,,,"{""Card Type"": ""Smart Card"", ""Number of Positions"": ""8"", ""Connector Type"": ""Connector"", ""Insertion, Removal Method"": ""Push In, Pull Out"", ""Ejector Side"": ""-"", ""Mounting Type"": ""Surface Mount, Right Angle"", ""Features"": ""Board Guide, Switch"", ""Height Above Board"": ""0.142\"" (3.60mm)"", ""Mounting Feature"": ""Normal, Standard - Top"", ""Contact Finish"": ""Gold or Gold-Palladium"", ""Contact Finish Thickness"": ""-""}"
CONN SMART CARD R/A PCB,Memory Connectors,609-1404-ND,7334L2622F01LF,Amphenol ICC (FCI),5,£0.88000,£4.40,118610462,2025-12-02T10:58:52.794Z,L26,Active,Tray,,,,,"{""Card Type"": ""Smart Card"", ""Number of Positions"": ""10 (8 + 2)"", ""Connector Type"": ""Connector"", ""Insertion, Removal Method"": ""Push In, Pull Out"", ""Ejector Side"": ""-"", ""Mounting Type"": ""Through Hole, Right Angle"", ""Features"": ""Board Guide, Board Lock, Switch"", ""Height Above Board"": ""0.244\"" (6.20mm)"", ""Mounting Feature"": ""Normal, Standard - Top"", ""Contact Finish"": ""Gold, GXT™"", ""Contact Finish Thickness"": ""-""}"
CONN SIM CARD R/A SMD,Memory Connectors,732-3814-1-ND,693010020611,Würth Elektronik,10,£1.21200,£12.12,118610462,2025-12-02T10:58:52.794Z,WR-CRD,Active,Cut Tape (CT),,,,,"{""Card Type"": ""SIM Card"", ""Number of Positions"": ""6"", ""Connector Type"": ""Connector"", ""Insertion, Removal Method"": ""Push In, Pull Out"", ""Ejector Side"": ""-"", ""Mounting Type"": ""Surface Mount, Right Angle"", ""Features"": ""-"", ""Height Above Board"": ""0.071\"" (1.80mm)"", ""Mounting Feature"": ""Normal, Standard - Top"", ""Contact Finish"": ""Gold"", ""Contact Finish Thickness"": ""-""}"
TPM 2.0 DEVICE FOR CONSUMER,Embedded,497-ST33KTPM2X32DKG9CT-ND,ST33KTPM2X32DKG9,STMicroelectronics,10,£2.32400,£23.24,118610462,2025-12-02T10:58:52.794Z,-,Active,Cut Tape (CT),ARM® SecurCore® SC300,ARM® SecurCore® SC300,,,"{""Applications"": ""Trusted Platform Module (TPM)"", ""Program Memory Type"": ""-"", ""Controller Series"": ""ST33K"", ""RAM Size"": ""-"", ""Interface"": ""I2C, SPI"", ""Number of I/O"": ""7"", ""Voltage - Supply"": ""1.8V, 3.3V"", ""Operating Temperature"": ""-40°C ~ 105°C (TA)"", ""Grade"": ""-"", ""Qualification"": ""-"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""32-UFQFN Exposed Pad"", ""Supplier Device Package"": ""32-UFQFPN (5x5)""}"
MOSFET N-CH 20V 18A/45A TO252,Transistors,785-1565-1-ND,AOD424,Alpha & Omega Semiconductor Inc.,100,£0.42370,£42.37,118610462,2025-12-02T10:58:52.794Z,-,Active,Cut Tape (CT),,,,,"{""FET Type"": ""N-Channel"", ""Technology"": ""MOSFET (Metal Oxide)"", ""Drain to Source Voltage (Vdss)"": ""20 V"", ""Current - Continuous Drain (Id) @ 25°C"": ""18A (Ta), 45A (Tc)"", ""Drive Voltage (Max Rds On, Min Rds On)"": ""2.5V, 4.5V"", ""Rds On (Max) @ Id, Vgs"": ""4.4mOhm @ 20A, 4.5V"", ""Vgs(th) (Max) @ Id"": ""1.6V @ 250µA"", ""Gate Charge (Qg) (Max) @ Vgs"": ""43 nC @ 10 V"", ""Vgs (Max)"": ""±12V"", ""Input Capacitance (Ciss) (Max) @ Vds"": ""4630 pF @ 10 V"", ""FET Feature"": ""-"", ""Power Dissipation (Max)"": ""2.5W (Ta), 100W (Tc)"", ""Operating Temperature"": ""-55°C ~ 175°C (TJ)"", ""Grade"": ""-"", ""Qualification"": ""-"", ""Mounting Type"": ""Surface Mount"", ""Supplier Device Package"": ""TO-252 (DPAK)"", ""Package / Case"": ""TO-252-3, DPAK (2 Leads + Tab), SC-63""}"
STENCIL 4X4MM .5MM,"Solder Stencils, Templates",IPC0014-S-ND,IPC0014-S,Chip Quik Inc.,1,£8.89000,£8.89,118610462,2025-12-02T10:58:52.794Z,Proto-Advantage IPC,Active,Bulk,,,,,"{""Type"": ""QFN/LFCSP"", ""Number of Positions"": ""24"", ""Pitch"": ""0.020\"" (0.50mm)"", ""Outer Dimension"": ""1.300\"" L x 0.900\"" W (33.02mm x 22.86mm)"", ""Inner Dimension"": ""0.157\"" L x 0.157\"" W (4.00mm x 4.00mm)"", ""Thermal Center Pad"": ""0.083\"" L x 0.083\"" W (2.10mm x 2.10mm)"", ""Material"": ""Stainless Steel"", ""Thickness"": ""0.0040\"" (0.102mm)""}"
STENCIL LQFP-48 .5MM,"Solder Stencils, Templates",PA0094-S-ND,PA0094-S,Chip Quik Inc.,1,£8.89000,£8.89,118610462,2025-12-02T10:58:52.794Z,Proto-Advantage PA,Active,Bulk,,,,,"{""Type"": ""TQFP"", ""Number of Positions"": ""48"", ""Pitch"": ""0.020\"" (0.50mm)"", ""Outer Dimension"": ""1.300\"" L x 0.900\"" W (33.02mm x 22.86mm)"", ""Inner Dimension"": ""0.276\"" L x 0.276\"" W (7.00mm x 7.00mm)"", ""Thermal Center Pad"": ""-"", ""Material"": ""Stainless Steel"", ""Thickness"": ""0.0040\"" (0.102mm)""}"
QFN-40 STENCIL,"Solder Stencils, Templates",IPC0044-S-ND,IPC0044-S,Chip Quik Inc.,1,£8.89000,£8.89,118610462,2025-12-02T10:58:52.794Z,Proto-Advantage IPC,Active,Bulk,,,,,"{""Type"": ""QFN/LFCSP"", ""Number of Positions"": ""40"", ""Pitch"": ""0.016\"" (0.40mm)"", ""Outer Dimension"": ""1.300\"" L x 0.900\"" W (33.02mm x 22.86mm)"", ""Inner Dimension"": ""0.197\"" L x 0.197\"" W (5.00mm x 5.00mm)"", ""Thermal Center Pad"": ""0.138\"" L x 0.138\"" W (3.50mm x 3.50mm)"", ""Material"": ""Stainless Steel"", ""Thickness"": ""0.0040\"" (0.102mm)""}"
