mfr_pn,dk_pn,description,qty_bought
STSAFA120DFSPL05,497-STSAFA120DFSPL05-ND,STSAFE CHIP_EA_MM,10
STSAFA120S8SPL05,497-STSAFA120S8SPL05CT-ND,IC AUTHENTICATION CHIP 8-SO,10
7712P0225A25LF,609-7712P0225A25LF-ND,CONN SMART CARD R/A SMD,3
7334L2622F01LF,609-1404-ND,CONN SMART CARD R/A PCB,5
693010020611,732-3814-1-ND,CONN SIM CARD R/A SMD,10
ST33KTPM2X32DKG9,497-ST33KTPM2X32DKG9CT-ND,TPM 2.0 DEVICE FOR CONSUMER,10
AOD424,785-1565-1-ND,MOSFET N-CH 20V 18A/45A TO252,100
IPC0014-S,IPC0014-S-ND,STENCIL 4X4MM .5MM,1
PA0094-S,PA0094-S-ND,STENCIL LQFP-48 .5MM,1
IPC0044-S,IPC0044-S-ND,QFN-40 STENCIL,1
FPC050P040-DPT-S,315-FPC050P040-DPT-S-ND,FPC/FFC SMT CONNECTOR STENCIL,1
IPC0079-S,IPC0079-S-ND,MSOP-16 STENCIL,1
IPC0024-S,IPC0024-S-ND,QFN-36 STENCIL,1
IPC0020-S,IPC0020-S-ND,STENCIL 5X5 MM .5MM,1
PA0001-S,PA0001-S-ND,SOIC-8 STENCIL,1
SS-METAL-0.2-68X36,315-SS-METAL-0.2-68X36-ND,STAINLESS STEEL SOLDER PASTE SQU,1
ADAPT_COMBO,ADAPT_COMBO-ND,SMT ADAPTER VALUE PACK,5
ATTINY13A-SSU,ATTINY13A-SSU-ND,IC MCU 8BIT 1KB FLASH 8SOIC,25
ATTINY87-XUR,ATTINY87-XURCT-ND,IC MCU 8BIT 8KB FLASH 20TSSOP,5
CD74HC85M96,296-9242-1-ND,IC MAG COMPARATOR 4BIT 16-SOIC,25
MCP1501T-33E/CHY,MCP1501T-33E/CHYCT-ND,IC VREF SERIES 3.3V SOT23-6,25
SG-210STF 16.0000ML0,114-SG-210STF16.0000ML0CT-ND,XTAL OSC XO 16.0000MHZ CMOS SMD,25
